Customer,Account Length,International Plan,Voice Mail Plan,Voice Mail Messages,Day Minutes,Day Calls,Day Charge,Evening Minutes,Evening Calls,Evening Charge,Night Minutes,Night Calls,Night Charge,International Minutes,International Calls,International Charge,Customer Service Calls,Churn?
69,147,0,0,0,212.8,79,36.18,204.1,91,17.35,156.2,113,7.03,10.2,2,2.75,1,0
70,95,0,1,20,165.7,78,28.17,215.6,94,18.33,243.3,91,10.95,9.8,6,2.65,0,0
71,152,0,0,0,206.3,98,35.07,292.8,82,24.89,43.7,121,1.97,10.6,4,2.86,1,0
72,166,0,0,0,152.1,95,25.86,121,105,10.29,198,126,8.91,9.8,5,2.65,0,0
73,90,0,0,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,0
74,111,0,0,0,222.2,96,37.77,162.5,111,13.81,184.9,120,8.32,11.9,7,3.21,4,0
75,46,0,0,0,196.7,85,33.44,205.9,74,17.5,216.6,112,9.75,11.2,5,3.02,3,0
76,87,0,1,33,125,99,21.25,235.3,81,20,215.3,95,9.69,10.2,7,2.75,2,0
77,6,0,0,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,0
78,87,0,0,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,0
79,124,1,0,0,244.6,89,41.58,188.8,80,16.05,206,114,9.27,11.3,4,3.05,1,0
80,122,0,0,0,136.7,115,23.24,243.1,137,20.66,188.9,110,8.5,8.6,4,2.32,0,0
81,54,0,0,0,210.5,102,35.79,204.5,83,17.38,127.8,53,5.75,8.5,5,2.3,1,0
82,74,0,0,0,172.1,105,29.26,211.7,99,17.99,182.2,105,8.2,11.6,6,3.13,1,0
83,40,0,0,0,115.7,105,19.67,127.8,113,10.86,107.5,91,4.84,9.3,6,2.51,1,0
84,46,0,0,0,164.2,116,27.91,196.2,153,16.68,236.1,119,10.62,8.1,1,2.19,1,0
85,80,0,1,38,236.6,69,40.22,197.5,68,16.79,209.5,102,9.43,9.5,10,2.57,2,0
86,59,0,1,27,127.4,110,21.66,103.3,99,8.78,164.2,73,7.39,9.1,3,2.46,0,0
87,86,0,0,0,150.8,85,25.64,295.9,88,25.15,247.2,104,11.12,12.5,1,3.38,1,0
88,119,0,1,23,154,114,26.18,278,137,23.63,228.4,112,10.28,11.8,4,3.19,2,0
89,104,0,1,18,182.1,66,30.96,213.6,65,18.16,193,108,8.69,13.4,9,3.62,2,0
90,165,0,0,0,209.4,67,35.6,273.8,89,23.27,150.2,88,6.76,12.8,1,3.46,0,0
91,82,0,0,0,143.7,116,24.43,170.7,99,14.51,287.7,95,12.95,7.8,5,2.11,1,0
92,64,0,1,37,154.6,92,26.28,83.4,103,7.09,165.9,99,7.47,13.3,3,3.59,1,0
93,62,0,0,0,86.3,84,14.67,238.7,99,20.29,238.4,79,10.73,12.5,1,3.38,2,0
94,1,0,1,30,183.1,95,31.13,232.6,110,19.77,248.3,110,11.17,8.4,2,2.27,0,0
95,46,0,0,0,250.3,100,42.55,260.6,90,22.15,195,104,8.78,13.3,2,3.59,2,1
96,96,0,0,0,276.9,105,47.07,246.9,94,20.99,254.4,107,11.45,10.3,3,2.78,1,1
97,74,0,0,0,225.2,93,38.28,215.1,120,18.28,241.8,95,10.88,9.1,2,2.46,2,0
98,79,0,0,0,134.7,98,22.9,189.7,68,16.12,221.4,128,9.96,11.8,5,3.19,2,0
99,110,0,0,0,188,127,31.96,90.5,118,7.69,150.3,64,6.76,15.3,3,4.13,3,0
100,64,0,0,0,148.1,73,25.18,164.9,101,14.02,216,125,9.72,12.3,2,3.32,5,1
101,135,0,0,0,190.9,44,32.45,161.4,109,13.72,231.9,100,10.44,8.4,2,2.27,1,0
102,82,0,0,0,185.8,36,31.59,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54,4,0
103,95,0,1,32,247,109,41.99,125.6,91,10.68,226.5,90,10.19,10.5,4,2.84,3,0
104,76,0,0,0,203.6,61,34.61,161.7,127,13.74,175.9,97,7.92,8.4,3,2.27,0,0
105,133,0,1,39,239.9,107,40.78,253.8,77,21.57,128.7,85,5.79,6.7,3,1.81,5,0
106,55,0,1,20,189.3,95,32.18,118.6,113,10.08,250.2,102,11.26,12.5,4,3.38,2,0
107,32,0,0,0,230.9,87,39.25,187.4,90,15.93,154,53,6.93,6.3,2,1.7,0,0
108,112,1,1,16,200.3,72,34.05,197.8,91,16.81,151.1,92,6.8,10.4,3,2.81,1,0
109,57,0,0,0,85.9,92,14.6,193.9,127,16.48,231.5,93,10.42,10.1,2,2.73,0,0
110,137,0,0,0,155.5,81,26.44,133.1,94,11.31,253.1,77,11.39,9.1,2,2.46,1,0
111,75,0,0,0,209.4,133,35.6,211.5,121,17.98,291.2,123,13.1,7.2,4,1.94,1,0
112,124,0,0,0,178.3,102,30.31,235,120,19.98,239.7,119,10.79,10.9,1,2.94,3,0
113,117,1,1,22,196,82,33.32,322.7,82,27.43,225.6,120,10.15,3.7,5,1,1,0
114,22,0,0,0,181.8,108,30.91,198.6,148,16.88,206.6,96,9.3,9.3,3,2.51,2,0
115,107,0,0,0,90.7,90,15.42,207.5,109,17.64,169.4,96,7.62,5.6,5,1.51,2,0
116,62,0,0,0,172.8,101,29.38,204.8,97,17.41,240.8,90,10.84,9.1,8,2.46,2,0
117,82,0,0,0,207,90,35.19,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,3,0
118,63,0,0,0,261.8,69,44.51,245,135,20.83,202.1,94,9.09,14.7,4,3.97,0,1
119,27,0,0,0,226.3,95,38.47,274.3,109,23.32,242.7,119,10.92,8.2,3,2.21,2,1
120,95,0,0,0,175.2,91,29.78,244.4,109,20.77,75.8,95,3.41,7.5,2,2.03,1,0
121,151,0,0,0,194.8,106,33.12,292.7,103,24.88,224.6,82,10.11,5.5,3,1.49,0,0
122,70,0,0,0,152.8,145,25.98,183.6,102,15.61,151.8,75,6.83,10.5,2,2.84,1,0
123,143,0,0,0,194.3,99,33.03,123.6,133,10.51,229.5,99,10.33,10.2,2,2.75,2,0
124,108,0,1,15,165.1,85,28.07,267,93,22.7,250.7,114,11.28,10.9,4,2.94,1,0
125,83,0,0,0,132.4,120,22.51,121.6,101,10.34,197.7,84,8.9,8.6,2,2.32,1,0
126,121,0,0,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,0
127,129,0,0,0,137.8,120,23.43,225.8,110,19.19,145.2,95,6.53,10.2,6,2.75,1,1
128,104,1,0,0,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,12.6,5,3.4,4,0
129,87,0,0,0,256.2,105,43.55,160.7,102,13.66,249.4,80,11.22,7.4,2,2,4,0
130,120,0,0,0,198.8,56,33.8,230.1,73,19.56,119.8,81,5.39,9.9,3,2.67,2,0
131,155,0,1,39,183.3,106,31.16,205.1,101,17.43,263.7,90,11.87,5.1,7,1.38,1,0
132,174,0,0,0,235.5,108,40.04,142.3,143,12.1,316.7,131,14.25,12.5,5,3.38,0,0
133,93,0,0,0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2,0
134,138,1,0,0,169.3,82,28.78,217.9,147,18.52,184.2,77,8.29,9.4,9,2.54,1,0
135,115,1,0,0,249.9,95,42.48,242.5,104,20.61,151.7,121,6.83,15.3,6,4.13,1,1
136,113,0,0,0,159.8,143,27.17,210.1,93,17.86,175.1,86,7.88,13.1,7,3.54,2,0
137,182,0,0,0,176.1,90,29.94,174.9,106,14.87,234.7,134,10.56,9.7,4,2.62,1,0
138,95,0,0,0,238.1,65,40.48,187.2,98,15.91,190,115,8.55,11.8,4,3.19,4,0
139,1,0,0,0,196.1,107,33.34,296.5,82,25.2,211.5,91,9.52,7,2,1.89,1,0
140,24,0,0,0,241.9,104,41.12,145.2,112,12.34,214.5,105,9.65,6.6,5,1.78,1,0
141,92,1,1,45,281.1,88,47.79,198,103,16.83,94.3,76,4.24,7.5,3,2.03,0,0
142,127,0,1,19,129.7,115,22.05,160.8,101,13.67,265,63,11.93,12.2,3,3.29,2,0
143,113,0,1,23,149,104,25.33,235.8,67,20.04,201.8,76,9.08,9.5,5,2.57,4,0
144,140,0,0,0,173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,3,0
145,122,0,0,0,231.2,141,39.3,267.8,136,22.76,240.3,100,10.81,8.8,5,2.38,1,1
146,64,0,0,0,168,116,28.56,192.4,94,16.35,166.5,98,7.49,10.1,3,2.73,2,0
147,70,0,0,0,59.5,103,10.12,257.2,106,21.86,208.3,86,9.37,11.1,6,3,0,0
148,114,0,1,32,125.2,79,21.28,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48,1,0
149,196,0,0,0,234,109,39.78,249.5,114,21.21,173.1,70,7.79,9.1,5,2.46,2,0
150,130,0,0,0,154,95,26.18,205.9,106,17.5,233.7,75,10.52,12.9,1,3.48,1,0
151,78,0,1,32,210.3,116,35.75,192.2,83,16.34,246.1,92,11.07,10.8,4,2.92,6,0
152,141,0,0,0,146.5,121,24.91,169.9,125,14.44,238.8,112,10.75,8.2,5,2.21,0,0
153,7,0,0,0,206.7,87,35.14,281.1,83,23.89,158.5,77,7.13,11,5,2.97,3,0
154,83,0,1,26,226.4,117,38.49,234.7,97,19.95,133.6,82,6.01,10.8,7,2.92,1,0
155,45,0,0,0,142.4,107,24.21,318.7,78,27.09,224.1,108,10.08,11.1,7,3,1,0
156,127,0,0,0,134.9,79,22.93,221.5,114,18.83,113.8,118,5.12,15,2,4.05,1,0
157,115,0,0,0,210.6,120,35.8,153.1,84,13.01,262.2,79,11.8,11,5,2.97,0,0
158,119,0,1,35,217.1,92,36.91,220.8,134,18.77,249.5,93,11.23,8,5,2.16,2,0
159,12,0,0,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1
160,147,0,0,0,130.6,83,22.2,208.1,144,17.69,204.6,72,9.21,15.6,3,4.21,3,0
161,152,0,0,0,161.4,84,27.44,163.6,88,13.91,153.2,121,6.89,11.8,5,3.19,1,0
162,51,1,0,0,153.6,108,26.11,232.9,85,19.8,214.2,92,9.64,14.1,4,3.81,0,1
163,23,0,1,31,156.6,84,26.62,161.5,96,13.73,294.6,107,13.26,9.4,6,2.54,1,0
164,111,0,0,0,78.3,119,13.31,198.2,94,16.85,248.5,94,11.18,12.1,4,3.27,1,0
165,163,0,1,40,231.9,56,39.42,211.8,91,18,268.5,74,12.08,12.3,3,3.32,2,0
166,117,0,0,0,144.6,115,24.58,258.8,66,22,253.2,113,11.39,7.4,9,2,2,0
167,110,0,0,0,159.5,145,27.12,202.3,101,17.2,256,96,11.52,16.7,2,4.51,2,0
168,185,0,0,0,55.6,97,9.45,288.7,83,24.54,111.2,110,5,12.1,3,3.27,2,0
169,106,0,0,0,207.9,91,35.34,172,109,14.62,191.8,143,8.63,14.4,7,3.89,4,0
170,123,0,0,0,211,92,35.87,217,102,18.45,214.8,104,9.67,9.8,7,2.65,3,0
171,46,0,0,0,199.2,111,33.86,175.1,83,14.88,210.6,84,9.48,10.2,2,2.75,3,0
172,134,0,0,0,258.8,85,44,129.5,114,11.01,193.6,106,8.71,10.9,7,2.94,2,0
173,90,0,0,0,175.9,111,29.9,285.2,115,24.24,150.8,122,6.79,13,7,3.51,1,0
174,110,0,0,0,222.7,94,37.86,105.8,98,8.99,214.8,78,9.67,13.5,4,3.65,1,0
175,76,0,0,0,165.7,94,28.17,257.4,80,21.88,170.8,114,7.69,10,4,2.7,1,0
176,31,0,0,0,97.5,129,16.58,260.4,78,22.13,88.7,100,3.99,7,5,1.89,1,0
177,95,0,1,32,262.2,123,44.57,165.2,82,14.04,194.3,57,8.74,10.6,5,2.86,0,0
178,141,1,1,37,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0
179,130,0,1,19,152.9,87,25.99,213.2,99,18.12,205.3,114,9.24,10.8,6,2.92,2,0
180,44,0,0,0,240.3,146,40.85,164.6,83,13.99,240.7,106,10.83,10.6,2,2.86,1,0
181,67,0,0,0,129,78,21.93,188,116,15.98,235,102,10.58,11.2,3,3.02,2,0
182,94,0,0,0,136.2,114,23.15,165.1,118,14.03,137.9,71,6.21,9.6,5,2.59,0,0
183,120,0,0,0,149.2,98,25.36,193.6,88,16.46,248.9,119,11.2,11.1,5,3,1,0
184,63,0,0,0,149.3,104,25.38,273.6,75,23.26,206.6,72,9.3,9.1,4,2.46,0,0
185,70,0,0,0,148.4,110,25.23,267.1,90,22.7,151.5,101,6.82,8.9,4,2.4,0,0
186,121,1,1,44,254.1,127,43.2,180.2,108,15.32,196.2,129,8.83,8.7,4,2.35,3,0
187,58,0,0,0,234.8,89,39.92,106.8,131,9.08,178.5,122,8.03,9.9,6,2.67,0,0
188,103,0,0,0,129.3,103,21.98,202.8,89,17.24,233,126,10.49,12.9,2,3.48,2,0
189,148,0,0,0,203,92,34.51,150.9,125,12.83,245.5,131,11.05,14.6,9,3.94,1,0
190,19,0,1,34,156.6,97,26.62,224.2,97,19.06,260.9,135,11.74,11.3,1,3.05,1,0
191,40,0,1,31,224.7,69,38.2,134.5,81,11.43,120.3,104,5.41,7.5,5,2.03,1,1
192,28,0,0,0,168.2,87,28.59,161.7,92,13.74,192.4,112,8.66,10.1,3,2.73,3,0
193,140,0,0,0,129.6,79,22.03,246.2,99,20.93,172.1,124,7.74,9.4,10,2.54,3,0
194,117,0,0,0,158.7,84,26.98,181.7,91,15.44,177.3,67,7.98,7.7,10,2.08,2,0
195,67,0,0,0,176.2,120,29.95,236,138,20.06,152.5,104,6.86,10.6,4,2.86,1,0
196,99,0,1,33,179.1,93,30.45,238.3,102,20.26,165.7,96,7.46,10.6,1,2.86,2,0
197,82,0,0,0,125.7,96,21.37,207.6,137,17.65,183.1,103,8.24,12.9,2,3.48,1,0
198,16,0,0,0,205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,0,0
199,123,0,1,32,212.3,77,36.09,251.5,78,21.38,208.7,85,9.39,6.6,2,1.78,3,0
200,105,0,1,15,88.1,125,14.98,175.9,142,14.95,269.9,85,12.15,9.7,1,2.62,2,0
201,121,0,0,0,207.9,98,35.34,210.5,96,17.89,109.6,114,4.93,7.7,2,2.08,2,0
202,135,0,1,22,197.1,113,33.51,259.4,95,22.05,134.7,135,6.06,14.6,5,3.94,2,0
203,104,0,0,0,263.4,101,44.78,235.5,117,20.02,102,146,4.59,13,4,3.51,0,0
204,157,0,1,29,219.2,102,37.26,206,109,17.51,192.4,117,8.66,15,5,4.05,1,0
205,103,0,1,18,149.9,84,25.48,170.9,84,14.53,171.5,112,7.72,11.5,7,3.11,0,1
206,117,0,1,17,221.3,82,37.62,167.6,100,14.25,262.7,87,11.82,4.4,4,1.19,0,0
207,90,0,0,0,167.5,96,28.48,139.1,104,11.82,138.4,87,6.23,13,1,3.51,1,0
208,113,0,0,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,0
209,93,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0
210,104,0,0,0,76.4,116,12.99,115.6,74,9.83,226.3,94,10.18,9.4,3,2.54,3,0
211,89,0,0,0,89.7,80,15.25,179.8,81,15.28,145.7,120,6.56,9.5,4,2.57,2,0
212,97,0,0,0,151.6,107,25.77,155.4,96,13.21,240,112,10.8,14.7,4,3.97,1,0
213,53,0,0,0,119.7,113,20.35,189.7,84,16.12,256.2,108,11.53,12.9,7,3.48,2,0
214,107,0,0,0,167.3,100,28.44,163.9,79,13.93,185.9,100,8.37,6.7,5,1.81,2,0
215,32,0,1,31,232.8,97,39.58,183.5,111,15.6,206.8,111,9.31,13,2,3.51,0,0
216,143,0,0,0,155.5,101,26.44,213.4,89,18.14,237.9,61,10.71,7.6,11,2.05,1,0
217,185,0,1,19,157.3,123,26.74,257.7,94,21.9,190.4,107,8.57,9.6,6,2.59,0,0
218,131,0,1,39,69.1,122,11.75,101.3,136,8.61,104.8,94,4.72,9.1,4,2.46,0,0
219,98,0,0,0,221.2,80,37.6,213.6,104,18.16,291.8,89,13.13,11.9,3,3.21,4,0
220,160,0,0,0,176.2,90,29.95,196,115,16.66,263.9,95,11.88,9.2,4,2.48,1,0
221,135,0,1,28,201.4,100,34.24,246.5,117,20.95,154.8,131,6.97,12.9,4,3.48,2,1
222,100,0,0,0,70.8,94,12.04,215.6,102,18.33,230.8,125,10.39,9.5,1,2.57,6,1
223,72,0,0,0,179.9,113,30.58,149.8,112,12.73,168.2,79,7.57,9.8,7,2.65,2,0
224,94,1,0,0,89.5,94,15.22,339.9,106,28.89,172.9,76,7.78,7.9,1,2.13,1,1
225,115,0,0,0,268,115,45.56,153.6,106,13.06,232.3,65,10.45,17,1,4.59,3,0
226,148,0,1,21,262.9,135,44.69,149.5,96,12.71,140.5,109,6.32,8.1,4,2.19,1,0
227,36,0,0,0,178.6,83,30.36,213.1,103,18.11,198,119,8.91,10.9,5,2.94,1,0
228,55,0,0,0,119.7,148,20.35,231.8,96,19.7,222.3,113,10,4.6,2,1.24,2,0
229,151,0,0,0,118.9,128,20.21,278.3,65,23.66,194.8,61,8.77,13.2,10,3.56,2,0
230,113,0,0,0,239.7,47,40.75,282.9,110,24.05,238.4,88,10.73,8.7,3,2.35,2,1
231,47,0,1,27,165,89,28.05,127.3,118,10.82,284.4,95,12.8,7.7,4,2.08,2,0
232,65,0,0,0,245.7,139,41.77,241.9,113,20.56,285.3,117,12.84,4.2,5,1.13,4,1
233,63,0,0,0,164.5,75,27.97,147.9,118,12.57,252.7,97,11.37,11.2,2,3.02,0,0
234,80,1,0,0,189.1,122,32.15,223.2,92,18.97,269,116,12.11,13.9,3,3.75,2,1
235,45,0,1,29,135.8,104,23.09,222.5,101,18.91,235.6,92,10.6,7.9,6,2.13,2,0
236,53,0,0,0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0,0
237,41,0,1,34,194.4,63,33.05,254.9,110,21.67,160.2,115,7.21,17.2,9,4.64,2,0
238,52,0,0,0,215.9,67,36.7,217,108,18.45,342.8,130,15.43,5.2,2,1.4,1,0
239,90,0,1,27,156.7,51,26.64,236.5,118,20.1,123.2,111,5.54,12.6,6,3.4,2,0
240,112,0,0,0,111.9,92,19.02,114,143,9.69,146.8,79,6.61,14.1,3,3.81,5,1
241,65,0,0,0,111,51,18.87,219.8,84,18.68,202,89,9.09,4.4,14,1.19,1,0
242,87,0,0,0,171.6,119,29.17,205,107,17.43,170.6,114,7.68,13.8,4,3.73,0,0
243,76,0,0,0,129.7,84,22.05,177.5,80,15.09,228.9,87,10.3,7.5,3,2.03,5,1
244,62,0,0,0,172.4,132,29.31,230.5,100,19.59,228.2,109,10.27,11,5,2.97,0,0
245,138,0,0,0,133.9,87,22.76,166.4,110,14.14,193.5,139,8.71,15.4,3,4.16,1,0
246,157,0,0,0,168.6,71,28.66,205.1,48,17.43,175.8,88,7.91,5.9,2,1.59,3,0
247,44,0,0,0,202.6,89,34.44,163,96,13.86,268.1,151,12.06,8.3,3,2.24,0,0
248,72,0,1,39,92.8,98,15.78,271.2,115,23.05,167.1,83,7.52,5.8,7,1.57,1,0
249,74,0,1,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0
250,57,1,0,0,115,65,19.55,122.3,96,10.4,245,75,11.03,6.4,1,1.73,0,1
251,144,1,0,0,150,69,25.5,285.9,73,24.3,190.6,121,8.58,9.4,15,2.54,0,0
252,47,0,0,0,155.3,116,26.4,188.2,85,16,247,73,11.12,12.3,4,3.32,3,0
253,94,1,0,0,243.2,109,41.34,147,88,12.5,94.9,99,4.27,7.2,4,1.94,4,0
254,150,0,1,27,209.8,112,35.67,155,80,13.18,251.5,111,11.32,7.2,6,1.94,0,0
255,152,0,0,0,317.8,60,54.03,152.9,100,13,123.4,63,5.55,10.4,7,2.81,1,1
256,118,0,0,0,205.2,115,34.88,184.8,137,15.71,176.1,115,7.92,7,6,1.89,0,0
257,177,0,0,0,84.9,77,14.43,257.5,109,21.89,210.5,66,9.47,7.5,5,2.03,2,0
258,22,0,1,23,182.1,94,30.96,164.6,59,13.99,128.8,102,5.8,12.7,4,3.43,3,0
259,67,0,0,0,260.4,107,44.27,208.2,104,17.7,207.9,115,9.36,10,2,2.7,6,0
